;;PROMEDIO ;REGIONAL 2023;;P. NACIONAL 4TO;P. NACIONAL 2DO
;; Simce 4to;Simce 2do medio;;272;248
Región Arica y Parinacota ;;277;249;;;
Región Tarapacá;;265;243;;;
Región Antofagasta;;273;244;;;
Región Atacama;;271;245;;;
Región Coquimbo;;270;247;;;
Región Valparaíso;;267;244;;;
Región Metropolitana;;275;252;;;
Región del Libertador Bernardo O´Higgins ;;270;247;;;
Región del Maule;;272;249;;;
Región del Ñuble;;271;247;;;
Región del Biobío;;273;246;;;
Región de La Araucanía;;269;243;;;
Región de Los Ríos;;270;247;;;
Región de Los Lagos ;;270;245;;;
Región de Aysén del General Carlos Ibañez del Campo;;267;246;;;
Región de Magallanes y de la Antártica Chilena;;272;247;;;
