,N° Bibliotecas Públicas,Préstamos 2023,Porcentaje  Préstamos,Personas socias activas ,Población Total Censo 2017, Población Hombres ,Población Mujeres,   *PIB 2023 (Billones de CLP)
Región de Tarapacá,7,8630,0.006,1458,330558,167793,162765,7.89
Región de Antofagasta,12,27962,0.019,8446,607534,315014,292520,31.29
Región de Atacama,12,14188,0.01,3754,286168,144420,141748,6
Región de Coquimbo,21,70300,0.048,13298,757586,368774,388812,9.17
Región de Valparaíso,36,159925,0.109,29511,1815902,880215,935687,20.27
Región del Libertador Bernardo O´Higgings ,30,67697,0.046,15225,914555,453710,460845,11.91
Región del Maule,29,57395,0.039,13735,1044950,511624,533326,10.35
Región del Bíobio,28,64320,0.044,20599,1556805,750730,806075,16.73
Región de la Araucanía,51,132272,0.09,30212,957224,465131,492093,7.74
Región de Los Lagos,32,116333,0.08,21668,828708,409400,419308,9.43
Región de Aysén ,21,32458,0.022,6921,103158,53647,49511,1.57
Región de Magallanes y La Antártica de Chile,7,11033,0.008,2820,166533,85249,81284,2.49
Región Metropolitana,89,603212,0.413,154248,7112808,3462267,3650541,109.14
Región de Los Ríos,14,46074,0.032,12223,384837,188847,195990,3.56
Región Arica y Parinacota,7,18397,0.013,3015,226068,112581,112487,2.17
Región de Ñuble,24,31860,0.022,7639,480609,232587,248022,4.11
,,,,,,,,
