,N° Bibliotecas Públicas,Préstamos 2023,Porcentaje  Préstamos,Personas socias activas ,Población Total Censo 2017, Población Hombres ,Población Mujeres,   *PIB 2023 (Billones de CLP)
Región de Tarapacá,7,8630,0.6%,1458,330558,167793,162765,7.89
Región de Antofagasta,12,27962,1.9%,8446,607534,315014,292520,31.29
Región de Atacama,12,14188,1.0%,3754,286168,144420,141748,6
Región de Coquimbo,21,70300,4.8%,13298,757586,368774,388812,9.17
Región de Valparaíso,36,159925,10.9%,29511,1815902,880215,935687,20.27
Región del Libertador Bernardo O´Higgings ,30,67697,4.6%,15225,914555,453710,460845,11.91
Región del Maule,29,57395,3.9%,13735,1044950,511624,533326,10.35
Región del Bíobio,28,64320,4.4%,20599,1556805,750730,806075,16.73
Región de la Araucanía,51,132272,9.0%,30212,957224,465131,492093,7.74
Región de Los Lagos,32,116333,8.0%,21668,828708,409400,419308,9.43
Región de Aysén ,21,32458,2.2%,6921,103158,53647,49511,1.57
Región de Magallanes y La Antártica de Chile,7,11033,0.8%,2820,166533,85249,81284,2.49
Región Metropolitana,89,603212,41.3%,154248,7112808,3462267,3650541,109.14
Región de Los Ríos,14,46074,3.2%,12223,384837,188847,195990,3.56
Región Arica y Parinacota,7,18397,1.3%,3015,226068,112581,112487,2.17
Región de Ñuble,24,31860,2.2%,7639,480609,232587,248022,4.11
,,,,,,,,
