Arica y Parinacota;;;;
Servicio;Préstamos;Personas socias activas;Actividades de fomento lector;Actividades de extensión cultural
Bibliotecas públicas;15697;2256;169;77
"Bibliotecas en centros
de justicia juvenil y
penitenciarios";2700;758;0;0
Bibliotecas en institutos Teletón;0;1;0;0
Total;18397;3015;169;77
;;;;
Tarapacá;;;;
Servicio;Préstamos;Personas socias activas;Actividades de fomento lector;Actividades de extensión cultural
Bibliotecas públicas;3601;762;103;74
"Bibliotecas en centrosde justicia juvenil ypenitenciarios";5019;696;0;0
"Bibliotecas en institutosTeletón";0;0;3;0
Total;8630;1458;106;74
;;;;
Antofagasta;;;;
Servicio;Préstamos;Personas socias activas;Actividades de fomento lector;Actividades de extensión cultural
Bibliotecas públicas;7312;2423;212;208
"Biblioteca Regional deAntofagasta";19387;5016;126;57
"Bibliotecas en centrospenitenciarios";1189;870;0;0
"Bibliotecas en institutosTeletón";74;137;3;0
Total;27962;8446;341;265
;;;;
Atacama;;;;
Servicio;Préstamos;Personas socias activas;Actividades de fomento lector;Actividades de extensión cultural
Bibliotecas públicas;10200;1750;227;174
Bibliotecas filiales;428;86;40;31
Puntos de préstamo;0;1;0;0
Biblioteca Regional de Atacama;2618;1471;5;0
"Bibliotecas en centrosde justicia juvenil ypenitenciarios";824;366;0;0
"Bibliotecas en institutosTeletón";118;80;5;0
Total;14188;3754;277;205
;;;;
Coquimbo;;;;
Servicio;Préstamos;Personas socias activas;Actividades de fomento lector;Actividades de extensión cultural
Bibliotecas públicas;12416;2660;305;56
Bibliotecas filiales;2066;431;21;7
"Biblioteca Regional deCoquimbo";49979;9551;128;71
"Bibliotecas en centrosde justicia juvenil ypenitenciarios";5336;140;0;0
"Bibliotecas en institutosTeletón";0;2;3;0
Bibliomóviles;503;514;6;3
Total;70300;13298;463;137
;;;;
Valparaiso;;;;
Servicio;Préstamos;Personas socias activas;Actividades de fomento lector;Actividades de extensión cultural
Bibliotecas públicas;103179;22314;1526;977
Puntos de préstamo;239;167;15;6
"Biblioteca Regional deValparaíso";38167;6174;87;45
"Bibliotecas en centrosde justicia juvenil ypenitenciarios";2050;856;0;0
Bibliometro Valparaíso8;16290;0;0;0
Total;159925;29511;1628;1028
;;;;
Metropolitana;;;;
