Puntajes Promedios,,,,,,
,Hombres ,Mujeres,GENERAL,,,
2018,241,256,249,,,
2019,-,-,,,,
2020,-,-,,,,
2021,-,-,,,,
2022,235,251,243,,,
2023,242,255,248,,,
,,,,,,
Puntaje promedio por GSE,,,,,,
,2018,2019,2020,2021,2022,2023
Bajo ,228,-,-,-,222,227
Medio Bajo,243,-,-,-,234,240
Medio,259,-,-,-,251,256
Medio Alto,269,-,-,-,262,269
Alto,279,-,-,-,279,286
,,,,,,
,,,,,,
Estudiantes y establecimientos a nivel nacional,,,,,,
,N°  Alumnos,% del total,N° Establecimientos,% del total,,
2018,212.999,"91,30%",2.930,"99,20%",,
2019,-,-,-,-,,
2020,-,-,-,-,,
2021,-,-,-,-,,
2022,205.360,"85,90%",2.972,"98,60%",,
2023,216.996,"87,90%",2.972,"98,10%",,
,,,,,,
,,,,,,
% de Concentración de habilidades,,,,,,
,2018,2019,2020,2021,2022,2023
Localizar ,8%,-,-,-,31%,60%
Interpretar y Relacionar,76%,-,-,-,60%,31%
Reflexionar,16%,-,-,-,9%,9%
,,,,,,
,,,,,,
PUNTAJE MÁXIMO DEL SIMCE SON 400 PUNTOS,,,,,,
