,N° Bibliotecas Públicas,Préstamos 2023,Porcentaje  Préstamos,Personas socias activas,Población Total Censo 2017,Población Hombres,Población Mujeres,*PIB 2023 (Billones de CLP)
Región de Tarapacá,7,8.630,0.6%,1.458,330.558,167.793,162.765,7.89
Región de Antofagasta,12,27.962,1.9%,8.446,607.534,315.014,292.520,31.29
Región de Atacama,12,14.188,1.0%,3.754,286.168,144.420,141.748,6
Región de Coquimbo,21,70.300,4.8%,13.298,757.586,368.774,388.812,9.17
Región de Valparaíso,36,159.925,10.9%,29.511,1.815.902,880.215,935.687,20.27
Región del Libertador Bernardo O´Higgings,30,67.697,4.6%,15.225,914.555,453.710,460.845,11.91
Región del Maule,29,57.395,3.9%,13.735,1.044.950,511.624,533.326,10.35
Región del Bíobio,28,64.320,4.4%,20.599,1.556.805,750.730,806.075,16.73
Región de la Araucanía,51,132.272,9.0%,30.212,957.224,465.131,492.093,7.74
Región de Los Lagos,32,116.333,8.0%,21.668,828.708,409.400,419.308,9.43
Región de Aysén,21,32.458,2.2%,6.921,103.158,53.647,49.511,1.57
Región de Magallanes y La Antártica de Chile,7,11.033,0.8%,2.820,166.533,85.249,81.284,2.49
Región Metropolitana,89,603.212,41.3%,154.248,7.112.808,3.462.267,3.650.541,109.14
Región de Los Ríos,14,46.074,3.2%,12.223,384.837,188.847,195.990,3.56
Región Arica y Parinacota,7,18.397,1.3%,3.015,226.068,112.581,112.487,2.17
Región de Ñuble,24,31.860,2.2%,7.639,480.609,232.587,248.022,45.600
