Regiones,2021,2022,2023
Región de Arica y Parinacota,5510,12454,18397
Región de Tarapacá,1968,2486,8630
Región de Antofagasta,3667,19868,27962
Región de Atacama,9732,16824,14188
Región de Coquimbo,14083,40508,70300
Región de Valparaíso,43068,108992,159925
Región Metropolitana,128095,400517,603212
Región de O’Higgins,41877,52728,67697
Región del Maule,22396,40919,57395
Región de Ñuble,10683,27999,31860
Región del Biobío,26413,51959,64320
Región de La Araucanía,45486,101043,132272
Región de Los Ríos,11283,31451,46074
Región de Los Lagos,44171,89341,116333
Región de Aysén,14879,25683,32458
Región de Magallanes,3288,10153,11033
