,N° Bibliotecas Públicas,Préstamos 2023 (SNBP),Personas socias activas (SNBP) ,Población Proyección Censo 2023,,,
Región de Tarapacá,7,8630,1458,401588,,,
Región de Antofagasta,12,27962,8446,714142,,,
Región de Atacama,12,14188,3754,319048,,,
Región de Coquimbo,21,70300,13298,869103,,,
Región de Valparaíso,36,159925,29511,2010849,,,
Región del Libertador Bernardo O´Higgings ,30,67697,15225,1017701,,,
Región del Maule,29,57395,13735,1162641,,,
Región del Bíobio,28,64320,20599,1681430,,,
Región de la Araucanía,51,132272,30212,1028201,,,
Región de Los Lagos,32,116333,21668,907429,,,
Región de Aysén ,21,32458,6921,108306,,,
Región de Magallanes y La Antártica de Chile,7,11033,2820,182217,,,
Región Metropolitana,89,603212,154248,8367790,,,
Región de Los Ríos,14,46074,12223,411205,,,
Región Arica y Parinacota,7,18397,3015,259802,,,
Región de Ñuble,24,31860,7639,519437,,,
,,,,,,,
