Provincia,Bibliotecas Públicas,Zona
Antofagasta,4,Región de Antofagasta
El Loa,4,Región de Antofagasta
Tocopilla,6,Región de Antofagasta
Arica,5,Región de Arica y Parinacota
Parinacota,2,Región de Arica y Parinacota
Chañaral,5,Región de Atacama
Copiapó,5,Región de Atacama
Huasco,3,Región de Atacama
Aysén,5,Región de Aysén del Gral.Ibañez del Campo
Capitán Prat,3,Región de Aysén del Gral.Ibañez del Campo
Coyhaique,8,Región de Aysén del Gral.Ibañez del Campo
General Carrera,4,Región de Aysén del Gral.Ibañez del Campo
Choapa,4,Región de Coquimbo
Elqui,12,Región de Coquimbo
Limarí,5,Región de Coquimbo
Cautín,17,Región de La Araucanía
Malleco,18,Región de La Araucanía
Chiloe,7,Región de Los Lagos
Llanquihue,13,Región de Los Lagos
Osorno,7,Región de Los Lagos
Palena,2,Región de Los Lagos
Ranco,3,Región de Los Ríos
Valdivia,10,Región de Los Ríos
Antártica Chilena,1,Región de Magallanes y Antártica Chilena
Magallanes,1,Región de Magallanes y Antártica Chilena
Tierra del Fuego,2,Región de Magallanes y Antártica Chilena
Ultima Esperanza,3,Región de Magallanes y Antártica Chilena
Diguillín,13,Región de Ñuble
Itata,5,Región de Ñuble
Punilla,6,Región de Ñuble
Iquique,3,Región de Tarapacá
Tamarugal,4,Región de Tarapacá
Isla de Pascua,1,Región de Valparaíso
Los Andes,3,Región de Valparaíso
Marga Marga,5,Región de Valparaíso
Petorca,4,Región de Valparaíso
Quillota,6,Región de Valparaíso
San Antonio,6,Región de Valparaíso
San Felipe,5,Región de Valparaíso
Valparaíso,7,Región de Valparaíso
Arauco,4,Región del Bío-Bío
Bío-Bío,16,Región del Bío-Bío
Concepción,8,Región del Bío-Bío
Cachapoal,11,Región del Libertador Bernardo O'Higgins
Cardenal Caro,5,Región del Libertador Bernardo O'Higgins
Colchagua,7,Región del Libertador Bernardo O'Higgins
Cauquenes,3,Región del Maule
Curicó,8,Región del Maule
Linares,7,Región del Maule
Talca,11,Región del Maule
Chacabuco,3,Región Metropolitana de Santiago
Cordillera,6,Región Metropolitana de Santiago
Maipo,2,Región Metropolitana de Santiago
Melipilla,2,Región Metropolitana de Santiago
Santiago,74,Región Metropolitana de Santiago
Talagante,2,Región Metropolitana de Santiago
