Nombre,Región,Comuna,Dirección,Contacto,Teléfono,Correo,Capacitaciones,Préstamos,Acceso a Internet,,
Biblioteca Pública 305 BC1,Tarapacá,Alto Hospicio,Avenida Los Alamos 3020,Maria Nieves Coca,988866420,b305bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 326 BC1,Tarapacá,Huara,Avenida Esmeralda s/n,Marcia Paola Passache,988109500,b326bc1@abretumundo.cl,NO,SI,SI,,
Biblioteca Pública 340 BC1,Tarapacá,Huara,Calle Arturo Prat s/n,Ricardo Antonio Demetri,985871321,b340bc1@abretumundo.cl,NO,SI,SI,,
Biblioteca Pública 211 BC1,Tarapacá,Iquique,Avenida Pedro Gamboni 2850,Silvana Zoila Flores,972120971,b211bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 214 BC1,Tarapacá,Iquique,Avenida 12 de febrero 1802 / Libertad 909,Carmen Clelia Vernal,988460274,b214bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 308 BC1,Tarapacá,Pica,Avenida Balmaceda 178,Gabriela Marcela Aranibar,                       ,b308bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 306 BC1,Tarapacá,Pozo Almonte,Calle estacion 211,Ruth Mary Bahamondes,957540371,b306bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 120 BC1,Antofagasta,Antofagasta,Calle San Martín 2736,Eva Candelaria Rojas,,b120bc1@abretumundo.cl,SI,NO,SI,,
Biblioteca Pública 122 BC1,Antofagasta,Antofagasta,Avenida Antonio Rendic 6147,Miriam Del Carmen Palacios,552887560,Miriam.palaciosh@imantof.cl,NO,NO,SI,,
Biblioteca Pública 124 BC1,Antofagasta,Antofagasta,Calle General Velásquez 1296,Melina Pascuala Ferreira,552887542,melina.ferreiraf@imantof.cl,NO,NO,SI,,
Biblioteca Regional 428 BC1,Antofagasta,Antofagasta,Calle Jorge Washington 2623,,                                ,,SI,SI,SI,,
Biblioteca Pública 220 BC1,Antofagasta,Calama,"Avenida Granaderos , Población Independencia 3724",Tatiana Valentina Neira,552865452,b220bc1@abretumundo.cl,N/S,N/S,N/S,,
Biblioteca Pública 359 BC1,Antofagasta,Calama,Calle Ramírez 2022,Edilia Jane Thompson,552865452,bibliotecatomaspaniri359@gmail.com,NO,SI,SI,,
Biblioteca Pública 217 BC1,Antofagasta,María Elena,Calle Luis Acevedo 86,Angélica Del Carmen Delgado,552892217,b217bc1@abretumundo.cl,NO,SI,SI,,
Biblioteca Pública 215 BC1,Antofagasta,Mejillones,Calle Borgoño s/n (entre Latorre y Ongolmo) s/n,Roxana Del Carmen Briceño,552557392,biblioteca@mejillones.cl,NO,SI,SI,,
Biblioteca Pública 216 BC1,Antofagasta,Ollagüe,Calle Antofagasta con Aucanquilcha /n s/n,Dina Danisa Valdivia,973934260,b116bc1@abretumundo.cl,NO,SI,SI,,
Biblioteca Pública 123 BC1,Antofagasta,San Pedro de Atacama,Calle Ignacio Carrera Pinto 547,Leslie Valeska Adasme,955285240,leslie.adasme@munispa.cl,NO,SI,SI,,
Biblioteca Pública 219 BC1,Antofagasta,Taltal,Calle Torreblanca 286,Ana María Estay,552611889,b219bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 121 BC1,Antofagasta,Tocopilla,Calle Sucre s/n s/n,Ximena Paola Vera,552421369,xvera@imtocopilla.cl,NO,NO,NO,,
